# Force coefficients
# liftDir     : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# dragDir     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis   : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# magUInf     : 3.6089199e+01
# lRef        : 9.0219998e-01
# Aref        : 9.0221003e-02
# CofR        : (2.2555199e-01 0.0000000e+00 0.0000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         	Cm	Cd	Cl	Cl(f)	Cl(r)
2.5000000e+01	1.0050981e-01	2.5653431e-01	1.1015202e+00	6.5126991e-01	4.5025027e-01
5.0000000e+01	1.3428663e-01	3.0301848e-01	1.3049213e+00	7.8674728e-01	5.1817399e-01
7.5000000e+01	1.2046324e-01	2.9138279e-01	1.3481079e+00	7.9451722e-01	5.5359071e-01
1.0000000e+02	1.2358618e-01	2.9602736e-01	1.4253500e+00	8.3626115e-01	5.8908880e-01
1.2500000e+02	1.3115434e-01	3.0420148e-01	1.5145540e+00	8.8843137e-01	6.2612265e-01
1.5000000e+02	1.4116694e-01	3.1420168e-01	1.6160028e+00	9.4916832e-01	6.6683447e-01
1.7500000e+02	1.4428765e-01	3.1306800e-01	1.6994299e+00	9.9400258e-01	7.0542729e-01
2.0000000e+02	1.4709938e-01	3.0890444e-01	1.7794235e+00	1.0368111e+00	7.4261236e-01
2.2500000e+02	1.4798227e-01	3.0052274e-01	1.8480083e+00	1.0719864e+00	7.7602184e-01
2.5000000e+02	1.4838266e-01	2.9048979e-01	1.9100448e+00	1.1034050e+00	8.0663973e-01
2.7500000e+02	1.4763135e-01	2.7853018e-01	1.9625890e+00	1.1289258e+00	8.3366317e-01
3.0000000e+02	1.4714234e-01	2.6699632e-01	2.0120478e+00	1.1531662e+00	8.5888153e-01
3.2500000e+02	1.4712073e-01	2.5657350e-01	2.0590074e+00	1.1766244e+00	8.8238299e-01
3.5000000e+02	1.4756423e-01	2.4774812e-01	2.1026921e+00	1.1989102e+00	9.0378183e-01
3.7500000e+02	1.4479408e-01	2.3572302e-01	2.1265135e+00	1.2080508e+00	9.1846263e-01
4.0000000e+02	1.4076637e-01	2.2371718e-01	2.1369894e+00	1.2092611e+00	9.2772830e-01
4.2500000e+02	1.3710918e-01	2.1455455e-01	2.1416948e+00	1.2079566e+00	9.3373823e-01
4.5000000e+02	1.3422091e-01	2.0892245e-01	2.1448607e+00	1.2066513e+00	9.3820947e-01
4.7500000e+02	1.3188781e-01	2.0593290e-01	2.1467290e+00	1.2052523e+00	9.4147670e-01
5.0000000e+02	1.3050599e-01	2.0545556e-01	2.1482704e+00	1.2046412e+00	9.4362921e-01
5.2500000e+02	1.2896390e-01	2.0616637e-01	2.1442881e+00	1.2011080e+00	9.4318014e-01
5.5000000e+02	1.2687713e-01	2.0782267e-01	2.1304491e+00	1.1921017e+00	9.3834740e-01
5.7500000e+02	1.2451852e-01	2.1047185e-01	2.1029499e+00	1.1759934e+00	9.2695642e-01
6.0000000e+02	1.3174106e-01	2.2452530e-01	2.0871673e+00	1.1753247e+00	9.1184258e-01
6.2500000e+02	1.4507581e-01	2.4759562e-01	2.0919492e+00	1.1910504e+00	9.0089881e-01
6.5000000e+02	1.5543531e-01	2.6973385e-01	2.0970976e+00	1.2039841e+00	8.9311349e-01
6.7500000e+02	1.6321461e-01	2.8914934e-01	2.0943012e+00	1.2103652e+00	8.8393599e-01
7.0000000e+02	1.7415115e-01	3.1134748e-01	2.0912793e+00	1.2197908e+00	8.7148845e-01
7.2500000e+02	1.8631330e-01	3.3552068e-01	2.0840092e+00	1.2283179e+00	8.5569131e-01
7.5000000e+02	1.9012332e-01	3.5582650e-01	2.0664470e+00	1.2233468e+00	8.4310019e-01
7.7500000e+02	1.7748047e-01	3.6476311e-01	2.0239065e+00	1.1894337e+00	8.3447278e-01
8.0000000e+02	1.4659500e-01	3.5891390e-01	1.9438325e+00	1.1185112e+00	8.2532126e-01
8.2500000e+02	1.0863882e-01	3.4517246e-01	1.8366098e+00	1.0269437e+00	8.0966610e-01
8.5000000e+02	9.5532015e-02	3.5330883e-01	1.7714347e+00	9.8124933e-01	7.9018533e-01
