# Force coefficients
# liftDir     : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# dragDir     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis   : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# magUInf     : 3.6089199e+01
# lRef        : 9.0219998e-01
# Aref        : 4.5109998e-02
# CofR        : (2.2555199e-01 0.0000000e+00 0.0000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         	Cm	Cd	Cl	Cl(f)	Cl(r)
1.0250000e+03	3.2552835e-02	9.2815474e-02	1.1039997e+00	5.8455271e-01	5.1944703e-01
1.0500000e+03	3.1204442e-02	8.9973114e-02	1.0856966e+00	5.7405275e-01	5.1164383e-01
1.0750000e+03	3.4355879e-02	9.2816576e-02	1.0790036e+00	5.7385767e-01	5.0514591e-01
1.1000000e+03	4.8489422e-02	1.0598107e-01	1.0982982e+00	5.9763849e-01	5.0065970e-01
1.1250000e+03	7.0938803e-02	1.2937802e-01	1.1441588e+00	6.4301825e-01	5.0114059e-01
1.1500000e+03	8.2959697e-02	1.4351113e-01	1.1742063e+00	6.7006284e-01	5.0414342e-01
1.1750000e+03	9.1343433e-02	1.5432139e-01	1.1988627e+00	6.9077480e-01	5.0808787e-01
1.2000000e+03	9.2386432e-02	1.5523006e-01	1.2011933e+00	6.9298309e-01	5.0821024e-01
1.2250000e+03	1.0005839e-01	1.6197482e-01	1.2165838e+00	7.0835030e-01	5.0823355e-01
1.2500000e+03	1.0973728e-01	1.7081684e-01	1.2335202e+00	7.2649735e-01	5.0702280e-01
1.2750000e+03	1.1547080e-01	1.7700806e-01	1.2412078e+00	7.3607469e-01	5.0513315e-01
1.3000000e+03	1.1134981e-01	1.7530867e-01	1.2275999e+00	7.2514975e-01	5.0245011e-01
1.3250000e+03	9.3552522e-02	1.6310702e-01	1.1832026e+00	6.8515384e-01	4.9804878e-01
1.3500000e+03	6.5816350e-02	1.4267804e-01	1.1155809e+00	6.2360680e-01	4.9197412e-01
1.3750000e+03	3.8532786e-02	1.2249438e-01	1.0473648e+00	5.6221521e-01	4.8514962e-01
1.4000000e+03	1.6982317e-02	1.0784619e-01	9.9295324e-01	5.1345897e-01	4.7949430e-01
1.4250000e+03	1.3746182e-02	1.0852613e-01	9.8296475e-01	5.0522858e-01	4.7773620e-01
1.4500000e+03	2.8133897e-02	1.2337160e-01	1.0176144e+00	5.3694105e-01	4.8067328e-01
1.4750000e+03	5.3455926e-02	1.4666747e-01	1.0807279e+00	5.9381992e-01	4.8690805e-01
1.5000000e+03	7.9724580e-02	1.7064814e-01	1.1527377e+00	6.5609348e-01	4.9664429e-01
1.5250000e+03	1.0755211e-01	1.9743928e-01	1.2327411e+00	7.2392267e-01	5.0881845e-01
1.5500000e+03	1.3520688e-01	2.2415790e-01	1.3146752e+00	7.9254448e-01	5.2213073e-01
1.5750000e+03	1.5182059e-01	2.3874627e-01	1.3676976e+00	8.3566940e-01	5.3202820e-01
1.6000000e+03	1.5302838e-01	2.3717418e-01	1.3799886e+00	8.4302264e-01	5.3696591e-01
1.6250000e+03	1.4578027e-01	2.2688836e-01	1.3682306e+00	8.2989556e-01	5.3833503e-01
1.6500000e+03	1.3786624e-01	2.1763402e-01	1.3532083e+00	8.1447041e-01	5.3873789e-01
1.6750000e+03	1.2782906e-01	2.0740768e-01	1.3312503e+00	7.9345423e-01	5.3779608e-01
1.7000000e+03	1.1329912e-01	1.9321683e-01	1.3045918e+00	7.6559502e-01	5.3899676e-01
1.7250000e+03	1.0315321e-01	1.8422167e-01	1.2989497e+00	7.5262809e-01	5.4632163e-01
1.7500000e+03	9.2493072e-02	1.7567571e-01	1.2981123e+00	7.4154919e-01	5.5656308e-01
1.7750000e+03	7.7867389e-02	1.6390093e-01	1.2916031e+00	7.2366893e-01	5.6793416e-01
1.8000000e+03	6.3219920e-02	1.5438496e-01	1.2937161e+00	7.1007794e-01	5.8363813e-01
1.8250000e+03	4.4487223e-02	1.4088286e-01	1.2843869e+00	6.8668067e-01	5.9770620e-01
1.8500000e+03	2.9520828e-02	1.2756902e-01	1.2770870e+00	6.6806430e-01	6.0902268e-01
1.8750000e+03	2.4835519e-02	1.2046012e-01	1.2862155e+00	6.6794330e-01	6.1827224e-01
1.9000000e+03	2.6555724e-02	1.1678759e-01	1.3017877e+00	6.7744958e-01	6.2433815e-01
1.9250000e+03	3.3945434e-02	1.1943917e-01	1.3268797e+00	6.9738531e-01	6.2949443e-01
1.9500000e+03	4.5099620e-02	1.2737167e-01	1.3610994e+00	7.2564930e-01	6.3545007e-01
1.9750000e+03	6.2020477e-02	1.4259145e-01	1.4118402e+00	7.6794058e-01	6.4389962e-01
2.0000000e+03	8.1144944e-02	1.6174397e-01	1.4722526e+00	8.1727123e-01	6.5498137e-01
2.0250000e+03	8.9186765e-02	1.6841407e-01	1.5021621e+00	8.4026784e-01	6.6189426e-01
2.0500000e+03	8.2160205e-02	1.5695931e-01	1.4822252e+00	8.2327282e-01	6.5895236e-01
2.0750000e+03	7.9323180e-02	1.5031922e-01	1.4803164e+00	8.1948137e-01	6.6083503e-01
2.1000000e+03	7.7284336e-02	1.4454094e-01	1.4808187e+00	8.1769371e-01	6.6312504e-01
2.1250000e+03	7.6373503e-02	1.4019057e-01	1.4811480e+00	8.1694752e-01	6.6420048e-01
2.1500000e+03	8.1766032e-02	1.4346759e-01	1.4984306e+00	8.3098131e-01	6.6744930e-01
2.1750000e+03	9.0525597e-02	1.5074812e-01	1.5284897e+00	8.5477042e-01	6.7371929e-01
2.2000000e+03	1.0403269e-01	1.6355635e-01	1.5789796e+00	8.9352250e-01	6.8545711e-01
2.2250000e+03	1.0873803e-01	1.6801786e-01	1.6051362e+00	9.1130608e-01	6.9383007e-01
2.2500000e+03	1.0922192e-01	1.6861513e-01	1.6233966e+00	9.2092025e-01	7.0247638e-01
2.2750000e+03	1.0458676e-01	1.6385457e-01	1.6310623e+00	9.2011791e-01	7.1094435e-01
2.3000000e+03	9.7223550e-02	1.5609163e-01	1.6293139e+00	9.1188049e-01	7.1743345e-01
2.3250000e+03	8.7060966e-02	1.4486103e-01	1.6118070e+00	8.9296448e-01	7.1884251e-01
2.3500000e+03	6.8392210e-02	1.2336478e-01	1.5508113e+00	8.4379786e-01	7.0701343e-01
2.3750000e+03	6.2182382e-02	1.1700901e-01	1.5284601e+00	8.2641244e-01	7.0204771e-01
2.4000000e+03	6.0210910e-02	1.1629415e-01	1.5164711e+00	8.1844646e-01	6.9802469e-01
2.4250000e+03	6.0500603e-02	1.1882751e-01	1.5130311e+00	8.1701618e-01	6.9601494e-01
2.4500000e+03	5.6020867e-02	1.1664054e-01	1.4996632e+00	8.0585247e-01	6.9381076e-01
2.4750000e+03	4.5343187e-02	1.0795991e-01	1.4734912e+00	7.8208876e-01	6.9140244e-01
