# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h10mm_p50mm_s0.25m.stl aoa_deg=16.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.512630,143.297485,723.560607,0.334861,1.690833
4000,-0.124822,179.430755,1001.533569,0.419298,2.340406
6000,0.192759,193.627807,1076.267089,0.452474,2.515045
8000,-0.354705,192.501770,1082.831787,0.449842,2.530386
10000,-0.087679,192.266326,1056.447753,0.449292,2.468731
12000,0.028782,220.941421,1111.015991,0.516301,2.596247
14000,0.001476,247.901397,1159.270507,0.579302,2.709009
16000,-0.125909,271.188598,1177.061157,0.633720,2.750583
18000,-0.110897,310.973663,1221.362670,0.726690,2.854108
20000,-0.051323,340.126708,1197.448852,0.794816,2.798225
22000,0.132499,364.157714,1139.884521,0.850972,2.663708
24000,0.050110,318.399810,844.711608,0.744044,1.973941
26000,-0.389084,249.387512,569.459289,0.582774,1.330725
28000,0.215276,190.107894,502.760559,0.444248,1.174862
30000,0.253733,202.390548,654.823181,0.472951,1.530205
32000,-0.441314,191.518219,638.406982,0.447544,1.491844
34000,-0.200241,211.154388,780.591613,0.493430,1.824104
36000,-0.066362,225.795959,934.054382,0.527645,2.182719
38000,0.049102,265.788726,1038.812744,0.621101,2.427521
40000,0.249557,308.590301,1132.349121,0.721121,2.646099
42000,-0.106543,321.148193,1067.116333,0.750466,2.493661
44000,0.293155,372.059600,1130.741088,0.869437,2.642341
46000,-0.133733,303.978668,844.446167,0.710344,1.973321
48000,0.413229,240.767730,555.517578,0.562631,1.298146
50000,-0.343806,200.576293,525.629516,0.468711,1.228303
52000,0.656517,205.860107,661.598327,0.481059,1.546038
54000,-0.011671,198.240066,701.309082,0.463252,1.638835
56000,-0.292497,178.712005,697.134948,0.417618,1.629081
58000,0.151080,196.603668,791.559326,0.459428,1.849734
60000,-0.013070,237.139785,917.171813,0.554154,2.143268
62000,0.154453,260.712158,966.302978,0.609238,2.258079
64000,0.095984,265.350921,915.190429,0.620078,2.138638
66000,0.276326,280.680511,874.194030,0.655901,2.042836
68000,-0.325504,295.166442,864.647094,0.689752,2.020527
70000,0.179802,272.072906,752.768554,0.635786,1.759086
72000,-0.187550,232.459854,545.932495,0.543217,1.275747
74000,0.308921,215.783950,648.585144,0.504249,1.515628
76000,0.087223,253.619476,869.999450,0.592664,2.033034
78000,-0.147982,226.009124,863.734069,0.528143,2.018393
80000,0.367652,203.737640,851.820800,0.476099,1.990554
82000,0.466698,236.752441,928.270446,0.553248,2.169203
84000,0.152199,296.414062,1064.285156,0.692667,2.487046
86000,0.062663,348.077728,1152.127685,0.813396,2.692318
88000,0.128806,314.361022,970.914367,0.734606,2.268854
90000,-0.091994,263.764099,713.917175,0.616370,1.668298
92000,0.650948,253.178558,703.942321,0.591633,1.644988
94000,-0.586068,262.428833,754.582885,0.613250,1.763326
96000,0.683404,228.242538,615.096618,0.533362,1.437372
98000,-0.376896,234.445892,794.419616,0.547858,1.856418
100000,0.363806,240.877853,941.686035,0.562889,2.200553
102000,0.178194,265.493194,1047.557006,0.620410,2.447955
104000,-0.099367,241.788253,983.953430,0.565016,2.299325
106000,0.186496,266.397125,981.811035,0.622523,2.294318
108000,0.207232,312.724945,1064.958374,0.730783,2.488619
110000,0.056683,329.461944,1051.600952,0.769894,2.457405
112000,0.346710,285.318725,852.070251,0.666739,1.991137
