# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h12mm_p90mm_s0.25m.stl aoa_deg=18.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.032693,107.624527,395.173492,0.447110,1.641689
4000,0.233949,135.689392,632.162292,0.563701,2.626224
6000,0.475098,135.578582,668.238586,0.563241,2.776098
8000,-0.375458,152.505935,716.580139,0.633563,2.976925
10000,-0.178781,154.783371,721.813415,0.643024,2.998666
12000,-0.144831,158.619110,715.388244,0.658959,2.971974
14000,-0.168838,177.723403,750.709045,0.738325,3.118709
16000,-0.092628,197.140716,783.824035,0.818992,3.256280
18000,0.066930,224.646118,826.102844,0.933259,3.431921
20000,-0.003126,249.688385,859.220703,1.037293,3.569505
22000,-0.044077,274.941314,885.820190,1.142203,3.680008
24000,-0.142154,300.260528,897.723266,1.247388,3.729458
26000,-0.084092,309.583190,861.547241,1.286117,3.579170
28000,0.114872,259.864654,677.534362,1.079569,2.814716
30000,-0.201706,190.352020,418.218688,0.790789,1.737427
32000,0.052262,155.490295,305.977539,0.645961,1.271138
34000,0.004346,113.073928,276.465118,0.469749,1.148533
36000,-0.256088,125.494628,364.807189,0.521349,1.515537
38000,0.177336,137.007888,445.877044,0.569179,1.852330
40000,0.073823,151.841262,497.431152,0.630802,2.066504
42000,-0.053403,154.177810,513.837951,0.640509,2.134663
44000,-0.078045,165.036560,549.720642,0.685620,2.283733
46000,-0.052462,195.945327,620.301818,0.814026,2.576952
48000,-0.026849,226.262832,679.809448,0.939975,2.824167
50000,-0.090221,251.636856,711.165100,1.045388,2.954429
52000,-0.205783,240.808502,640.287780,1.000403,2.659980
54000,-0.103381,214.632797,533.236206,0.891660,2.215250
56000,0.026744,162.784011,375.022064,0.676262,1.557973
58000,-0.102395,116.713066,265.644317,0.484867,1.103580
60000,-0.115749,113.206703,305.548919,0.470300,1.269357
62000,0.044220,149.123153,444.289794,0.619510,1.845736
64000,-0.120872,150.130477,472.993591,0.623695,1.964981
66000,-0.010121,142.972946,459.305084,0.593960,1.908115
68000,0.091233,156.784057,520.504760,0.651336,2.162359
70000,-0.036769,170.064407,569.508422,0.706507,2.365938
72000,0.032757,199.203002,654.129089,0.827559,2.717482
74000,-0.122761,233.864563,734.283874,0.971555,3.050473
76000,0.009344,267.896179,795.577575,1.112935,3.305109
78000,0.013671,266.237182,741.398681,1.106043,3.080030
80000,-0.076702,242.963470,622.308776,1.009356,2.585289
82000,0.070745,184.026412,376.467041,0.764510,1.563976
84000,0.221346,132.024383,239.578140,0.548476,0.995292
86000,0.021144,101.644081,201.238830,0.422265,0.836017
88000,0.000469,117.201560,326.780883,0.486896,1.357563
90000,0.116027,162.791458,509.027404,0.676293,2.114679
92000,-0.044539,158.039321,526.906066,0.656551,2.188953
94000,-0.003701,156.612548,529.862976,0.650624,2.201237
96000,0.163041,157.802413,572.722717,0.655567,2.379291
98000,0.243394,178.948181,622.848022,0.743414,2.587529
100000,-0.226781,202.237930,678.066223,0.840167,2.816925
102000,-0.116311,233.611923,741.905578,0.970506,3.082136
104000,0.004751,263.096984,775.933898,1.092997,3.223502
106000,0.018932,278.058197,754.504638,1.155151,3.134477
108000,0.086121,239.418945,612.172058,0.994630,2.543178
110000,-0.096374,178.937622,367.318756,0.743370,1.525971
112000,0.134211,158.358886,290.524200,0.657878,1.206940
114000,-0.056723,122.503906,264.508941,0.508924,1.098863
116000,-0.194375,133.107299,388.801879,0.552974,1.615219
118000,0.114986,142.759536,482.671203,0.593073,2.005186
120000,0.145451,161.037521,566.740234,0.669006,2.354438
122000,0.023058,160.503997,584.187316,0.666790,2.426919
124000,0.010173,166.210083,613.652221,0.690495,2.549327
126000,0.058989,191.158767,661.617553,0.794141,2.748592
128000,0.086905,219.886261,715.113891,0.913485,2.970834
130000,-0.030641,256.284454,785.479797,1.064696,3.263159
132000,-0.118640,268.335876,767.998474,1.114761,3.190535
134000,-0.138562,277.635772,737.408813,1.153396,3.063455
136000,-0.153947,221.967605,557.922729,0.922131,2.317807
138000,-0.023797,155.302673,332.636322,0.645182,1.381888
140000,0.164181,126.342010,245.741516,0.524869,1.020897
142000,0.041182,110.602104,269.544220,0.459480,1.119781
144000,-0.100868,159.163375,464.515808,0.661221,1.929762
146000,0.025771,163.051010,511.477905,0.677371,2.124859
148000,0.135774,141.800567,473.511810,0.589089,1.967134
