# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h10mm_p50mm_s0.25m.stl aoa_deg=20.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.031906,129.299804,461.675170,0.537157,1.917961
4000,0.093070,173.922821,719.655334,0.722536,2.989701
6000,0.353798,180.671417,764.032287,0.750573,3.174058
8000,0.012155,206.360107,825.510803,0.857292,3.429462
10000,0.101797,211.042999,832.125366,0.876747,3.456941
12000,-0.029671,224.217849,841.136047,0.931480,3.494375
14000,-0.115569,252.223510,882.356201,1.047825,3.665617
16000,-0.059599,277.489868,915.102783,1.152790,3.801658
18000,0.011043,313.449920,959.677307,1.302181,3.986836
20000,0.164572,345.021423,995.916503,1.433340,4.137387
22000,-0.057297,351.537048,957.774414,1.460408,3.978931
24000,0.055986,340.093658,865.130798,1.412868,3.594057
26000,0.034183,255.659027,586.292419,1.062097,2.435665
28000,0.020726,222.015579,422.073364,0.922331,1.753441
30000,0.064866,160.566238,298.419708,0.667049,1.239740
32000,-0.070387,136.677078,307.747009,0.567805,1.278489
34000,0.073912,177.272933,478.170623,0.736454,1.986489
36000,0.014897,195.162307,560.672912,0.810773,2.329232
38000,-0.022107,205.269836,606.321899,0.852763,2.518874
40000,0.056809,234.329406,680.608337,0.973487,2.827486
42000,0.151516,245.680023,689.863220,1.020641,2.865934
44000,0.087272,279.996398,739.471923,1.163203,3.072026
46000,0.117446,289.797851,727.177917,1.203922,3.020952
48000,0.073135,250.198303,618.110046,1.039412,2.567846
50000,-0.044586,193.833358,450.476654,0.805252,1.871438
52000,-0.038006,167.051635,340.893188,0.693991,1.416190
54000,0.023372,159.425476,353.894409,0.662309,1.470202
56000,0.173359,183.246078,470.471710,0.761269,1.954505
58000,-0.024148,188.778854,538.898742,0.784254,2.238775
60000,-0.075045,198.236907,584.703430,0.823546,2.429063
62000,0.047059,219.815155,634.516967,0.913189,2.636006
64000,-0.014307,238.082870,679.815918,0.989080,2.824194
66000,-0.094209,271.648315,743.893066,1.128522,3.090393
68000,-0.179545,302.936737,791.283569,1.258506,3.287270
70000,-0.048487,309.384124,776.422302,1.285290,3.225531
72000,0.034434,260.202392,619.308288,1.080972,2.572824
74000,-0.011251,200.545990,383.634277,0.833138,1.593751
76000,0.048584,156.918685,263.486633,0.651895,1.094616
78000,-0.128281,128.602829,266.179504,0.534261,1.105803
80000,-0.049945,146.074417,382.077789,0.606844,1.587285
82000,-0.063212,189.016677,540.469177,0.785242,2.245299
84000,0.026794,208.279190,619.465515,0.865265,2.573477
86000,-0.184477,222.880401,653.839294,0.925923,2.716278
88000,-0.151511,239.235183,677.036743,0.993867,2.812648
90000,-0.179078,280.988311,741.594726,1.167324,3.080845
92000,-0.043995,300.248016,752.895629,1.247336,3.127793
94000,0.123787,284.876190,700.409606,1.183476,2.909747
96000,-0.061973,216.761352,503.469451,0.900503,2.091589
98000,-0.177108,178.771469,327.034423,0.742679,1.358616
100000,0.134714,159.387924,281.554504,0.662153,1.169676
102000,0.033265,123.407539,287.057464,0.512678,1.192537
104000,-0.160126,176.841049,500.249023,0.734660,2.078210
106000,-0.120664,201.813446,623.525756,0.838404,2.590345
108000,0.067856,209.855758,660.261413,0.871814,2.742958
110000,-0.000444,227.363540,706.129150,0.944548,2.933508
112000,-0.119512,243.819458,728.045654,1.012912,3.024557
114000,-0.174533,284.658081,802.467712,1.182570,3.333733
116000,0.004143,313.663757,842.717651,1.303069,3.500945
118000,-0.043892,326.951202,840.210205,1.358270,3.490528
120000,0.047766,303.169464,711.374572,1.259472,2.955300
122000,-0.063435,221.431427,455.745056,0.919904,1.893325
124000,-0.100978,193.140441,333.624847,0.802373,1.385995
126000,-0.086384,149.216659,291.175292,0.619898,1.209644
128000,-0.141616,160.309478,396.191467,0.665982,1.645918
130000,-0.064610,186.956466,538.501464,0.776683,2.237124
132000,-0.062574,203.259399,633.228698,0.844411,2.630654
134000,-0.064789,217.423980,686.749084,0.903256,2.852997
136000,-0.136824,233.004165,721.095275,0.967981,2.995683
138000,-0.276635,267.710693,777.193359,1.112164,3.228734
140000,-0.073435,306.447967,834.653381,1.273092,3.467443
142000,-0.219988,339.838684,869.356872,1.411809,3.611614
144000,0.041354,330.888092,800.462707,1.374625,3.325403
146000,-0.018527,273.794250,631.319946,1.137437,2.622725
148000,0.085119,178.580352,371.067596,0.741885,1.541545
