# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h8mm_s0.25m.stl aoa_deg=14.0 Re=2.20899988E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.223696,111.839653,629.640258,0.261349,1.471357
4000,-0.176741,135.759002,886.095642,0.317245,2.070648
6000,-0.313717,146.434127,952.891967,0.342191,2.226739
8000,0.236929,137.206741,938.617248,0.320628,2.193382
10000,0.193479,137.220291,922.057250,0.320659,2.154684
12000,0.403238,141.863739,928.407897,0.331510,2.169524
14000,0.010146,153.082260,949.126708,0.357726,2.217941
16000,0.045121,153.630752,934.818237,0.359008,2.184504
18000,0.079411,157.521911,923.122680,0.368101,2.157174
20000,-0.226797,160.639587,911.118225,0.375386,2.129122
22000,-0.030791,168.153915,907.491027,0.392946,2.120646
24000,0.139310,175.448883,895.507568,0.409993,2.092642
26000,0.245075,207.093093,940.317260,0.483940,2.197355
28000,-0.078584,212.313598,899.225036,0.496139,2.101329
30000,-0.057855,207.935241,818.292541,0.485908,1.912204
32000,-0.340048,207.656295,761.283081,0.485256,1.778983
34000,-0.309875,217.796997,723.335327,0.508953,1.690306
36000,0.022861,198.153396,655.574890,0.463049,1.531962
38000,-0.236298,150.203567,469.384185,0.350999,1.096868
40000,0.143829,138.518920,439.851654,0.323694,1.027855
42000,-0.350339,177.704605,677.741027,0.415264,1.583761
44000,-0.468693,184.374816,776.780456,0.430851,1.815198
46000,0.212274,157.716033,750.809814,0.368554,1.754509
48000,-0.550515,130.482116,686.386535,0.304914,1.603964
50000,0.245887,157.127029,785.450500,0.367178,1.835458
52000,-0.145490,162.456848,803.444641,0.379633,1.877507
54000,-0.268827,175.835464,848.248962,0.410896,1.982207
56000,-0.325626,152.282409,777.212036,0.355857,1.816207
58000,-0.429672,166.321228,804.428100,0.388663,1.879806
60000,-0.374843,179.305923,823.120056,0.419006,1.923485
62000,-0.151983,200.186752,850.175720,0.467801,1.986710
64000,-0.115871,194.820007,787.357421,0.455260,1.839914
66000,-0.271240,202.769561,753.948974,0.473836,1.761845
68000,-0.080900,187.465942,658.115783,0.438075,1.537900
70000,-0.295865,193.621917,668.192138,0.452460,1.561446
72000,0.097467,175.045318,606.436706,0.409050,1.417135
74000,-0.377932,167.026901,581.287475,0.390312,1.358366
76000,0.358240,171.053955,652.959594,0.399723,1.525851
78000,-0.590229,162.995162,625.980407,0.380891,1.462805
80000,0.184875,162.695343,654.472778,0.380190,1.529387
82000,-0.453966,151.751556,663.179382,0.354616,1.549732
84000,0.086163,180.824096,729.667175,0.422554,1.705103
86000,-0.661029,163.700790,663.855102,0.382540,1.551312
88000,-0.043568,160.775390,639.444091,0.375704,1.494267
90000,-0.117766,163.769012,656.083435,0.382699,1.533151
92000,-0.254997,190.211425,706.875427,0.444490,1.651842
94000,0.201367,194.464202,695.127258,0.454428,1.624389
96000,-0.331999,181.031433,621.824340,0.423038,1.453093
98000,0.258122,208.403411,709.715209,0.487002,1.658478
100000,-0.331534,173.860717,569.524414,0.406282,1.330877
102000,0.000790,167.907638,587.877929,0.392370,1.373766
104000,-0.054229,169.765090,657.443237,0.396711,1.536328
106000,-0.068085,178.459701,671.901062,0.417029,1.570114
108000,0.068208,154.715103,627.438476,0.361542,1.466212
110000,-0.575013,146.930679,633.896972,0.343351,1.481305
112000,0.186214,158.906860,649.720214,0.371337,1.518281
