# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_speck_s0.25m.stl aoa_deg=16.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,0.203362,137.183517,719.640991,0.320574,1.681673
4000,0.140998,176.180221,1007.252868,0.411702,2.353771
6000,-0.331786,196.276916,1091.317749,0.458664,2.550216
8000,-0.141991,209.435287,1138.940551,0.489413,2.661502
10000,-0.043356,202.321807,1100.596557,0.472790,2.571899
12000,0.204122,225.843856,1140.195068,0.527757,2.664433
14000,0.097720,253.464447,1184.623901,0.592301,2.768256
16000,-0.407706,287.857086,1225.846435,0.672671,2.864585
18000,0.117943,338.557556,1281.782104,0.791149,2.995297
20000,-0.039717,374.968536,1278.639770,0.876235,2.987954
22000,0.151018,394.541168,1241.335083,0.921973,2.900780
24000,-0.116100,326.692077,894.576293,0.763421,2.090466
26000,-0.131571,239.732864,547.906372,0.560213,1.280360
28000,0.086387,158.323242,408.477630,0.369973,0.954540
30000,0.032536,190.542114,570.033691,0.445263,1.332067
32000,-0.032204,201.542053,654.777404,0.470968,1.530099
34000,-0.128176,202.680816,704.898437,0.473629,1.647223
36000,0.063047,224.026489,872.823486,0.523510,2.039633
38000,0.068505,239.568450,919.797424,0.559829,2.149403
40000,0.161083,275.660034,1004.084167,0.644169,2.346366
42000,0.098768,260.373870,920.098388,0.608448,2.150107
44000,0.053113,290.584533,929.063415,0.679044,2.171056
46000,0.122407,248.435729,698.609863,0.580550,1.632527
48000,0.240999,223.823837,662.466918,0.523037,1.548068
50000,0.250609,245.593490,768.857360,0.573908,1.796683
52000,0.154691,230.326980,721.463439,0.538233,1.685932
54000,0.217050,215.554153,673.615478,0.503712,1.574120
56000,-0.103351,275.313293,930.091735,0.643358,2.173459
58000,-0.177168,281.872558,947.292358,0.658686,2.213654
60000,0.162424,238.657608,848.529296,0.557700,1.982862
62000,0.018411,208.629226,713.962768,0.487529,1.668404
64000,-0.001001,290.607116,956.811462,0.679097,2.235898
66000,-0.038336,263.625366,897.508972,0.616046,2.097319
68000,-0.040308,193.720916,682.490234,0.452691,1.594859
70000,0.001048,234.735412,828.896301,0.548535,1.936983
72000,0.031548,288.856170,983.001342,0.675006,2.297100
74000,-0.003005,317.816467,1071.590454,0.742681,2.504117
76000,0.074387,252.114089,853.394775,0.589146,1.994232
78000,-0.115989,228.857376,697.381225,0.534799,1.629656
80000,0.311449,261.886718,852.263610,0.611983,1.991589
82000,0.246678,259.558502,891.395507,0.606542,2.083033
84000,0.214606,199.966705,719.857055,0.467287,1.682178
86000,0.117595,221.272277,801.290954,0.517074,1.872475
88000,0.053082,284.965515,967.254821,0.665914,2.260303
90000,0.009222,302.582794,999.991088,0.707082,2.336802
92000,-0.001403,256.240020,842.747436,0.598787,1.969351
94000,-0.020508,223.676162,660.413452,0.522691,1.543269
96000,0.070232,326.010589,977.473266,0.761829,2.284181
98000,-0.089242,285.477294,904.212524,0.667110,2.112984
100000,0.059372,192.038513,598.831787,0.448760,1.399364
102000,0.137263,212.152175,721.195800,0.495762,1.685307
104000,0.142840,257.019104,929.219604,0.600608,2.171421
106000,0.062324,292.218322,1069.242065,0.682862,2.498629
108000,-0.076969,275.952026,1036.962036,0.644851,2.423196
110000,-0.056260,222.078765,767.680908,0.518959,1.793934
112000,0.302068,306.613647,987.944335,0.716502,2.308650
