# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h10mm_p50mm_s0.25m.stl aoa_deg=18.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,0.000854,108.105926,396.696014,0.449110,1.648015
4000,-0.093568,136.758224,633.937927,0.568142,2.633601
6000,0.198336,136.683670,669.174255,0.567832,2.779985
8000,-0.391906,152.957885,714.483276,0.635441,2.968214
10000,0.002567,154.142425,717.227783,0.640362,2.979616
12000,0.560242,161.208404,719.809204,0.669716,2.990340
14000,-0.023335,177.098999,744.687438,0.735731,3.093693
16000,-0.139883,196.488189,780.128295,0.816281,3.240927
18000,0.033133,221.239318,818.653564,0.919106,3.400974
20000,-0.110226,250.582016,863.551513,1.041006,3.587496
22000,-0.170270,283.305358,902.311035,1.176950,3.748517
24000,0.053355,308.429595,917.168029,1.281325,3.810238
26000,0.031866,312.545959,873.238586,1.298426,3.627740
28000,0.029047,262.003875,670.532226,1.088456,2.785626
30000,0.136896,213.790802,433.340393,0.888162,1.800248
32000,0.010139,171.299667,299.637512,0.711639,1.244799
34000,0.251713,108.657707,219.945343,0.451402,0.913730
36000,-0.060806,116.995239,322.661285,0.486039,1.340448
38000,0.078440,143.836929,459.937042,0.597549,1.910740
40000,0.364634,141.209167,494.714324,0.586632,2.055217
42000,0.238562,148.682907,532.739135,0.617681,2.213185
44000,0.098360,155.323226,579.095092,0.645267,2.405764
46000,-0.008099,175.003707,626.068420,0.727027,2.600908
48000,0.040688,205.844223,699.754150,0.855149,2.907024
50000,0.109526,244.266830,785.668823,1.014770,3.263944
52000,-0.001826,270.550262,823.882202,1.123961,3.422696
54000,-0.003040,299.697509,844.316772,1.245049,3.507588
56000,-0.048212,291.546020,776.612426,1.211184,3.226321
58000,0.039400,221.298522,558.957580,0.919352,2.322106
60000,-0.222361,167.198104,328.485839,0.694600,1.364645
62000,0.046110,160.466598,324.169830,0.666635,1.346715
64000,0.128838,138.561935,368.826873,0.575635,1.532236
66000,-0.029522,165.069580,522.225524,0.685757,2.169508
68000,-0.209929,175.009399,594.508605,0.727050,2.469797
70000,-0.108564,146.198135,527.462402,0.607358,2.191264
72000,-0.048948,151.130722,568.192932,0.627850,2.360473
74000,0.135583,171.672744,625.930725,0.713189,2.600336
76000,0.081617,194.706832,682.946777,0.808881,2.837201
78000,-0.223802,231.499252,760.687255,0.961729,3.160162
80000,-0.002216,261.106018,817.502807,1.084726,3.396194
82000,0.170691,269.666076,798.296081,1.120288,3.316402
84000,0.070556,266.370697,737.560730,1.106597,3.064086
86000,0.005619,223.262359,567.662170,0.927510,2.358268
88000,-0.098676,154.539703,327.982116,0.642012,1.362553
90000,0.008083,118.901298,230.676086,0.493958,0.958309
92000,-0.007847,98.424987,226.731124,0.408892,0.941921
94000,0.139166,145.239318,418.842071,0.603375,1.740017
96000,0.135576,158.854827,489.588836,0.659939,2.033924
98000,0.027366,151.016220,481.377655,0.627374,1.999812
100000,-0.171606,147.785827,490.291870,0.613954,2.036844
102000,-0.186760,159.728805,559.062805,0.663570,2.322543
104000,0.017433,184.672454,620.718139,0.767194,2.578681
106000,-0.077474,225.256896,714.736267,0.935796,2.969265
108000,0.002151,258.786468,783.409484,1.075090,3.254558
110000,0.052722,281.780242,806.519897,1.170614,3.350567
112000,0.024223,287.154968,751.071105,1.192942,3.120213
114000,0.084297,234.035171,524.685485,0.972264,2.179728
116000,-0.047764,208.950210,389.195068,0.868053,1.616853
118000,-0.133574,157.990844,302.358642,0.656349,1.256104
120000,0.018075,139.353942,345.158874,0.578925,1.433911
122000,-0.174358,137.116500,438.385040,0.569630,1.821205
124000,-0.055460,166.440094,567.559265,0.691451,2.357841
126000,-0.023711,150.734924,561.797302,0.626206,2.333903
128000,-0.045917,159.565551,597.717651,0.662891,2.483129
130000,-0.099534,183.562194,653.020874,0.762582,2.712878
132000,-0.115309,201.790573,691.169189,0.838309,2.871359
134000,-0.147866,231.698059,744.467956,0.962555,3.092781
136000,-0.052049,272.344726,811.515197,1.131416,3.371319
138000,0.022765,280.261322,782.909606,1.164304,3.252481
140000,-0.050266,272.471252,715.780151,1.131941,2.973602
142000,-0.079511,218.498092,524.450927,0.907718,2.178753
144000,0.118491,157.345916,293.980621,0.653670,1.221299
146000,0.197660,117.211494,216.232666,0.486938,0.898306
148000,0.012775,117.552665,285.971191,0.488355,1.188025
