# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_clean_ail_n_s0.75m.stl aoa_deg=10.4 Re=2.21700000E6 mm_per_cell=2.009
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.002132,161.644531,536.085937,0.342819,1.136941
4000,0.111704,105.508789,721.454467,0.223765,1.530073
6000,0.082723,98.529502,786.267334,0.208963,1.667530
8000,0.205419,102.167419,814.223937,0.216678,1.726821
10000,-0.009289,92.149673,760.637939,0.195433,1.613174
12000,0.074602,84.889488,736.803039,0.180035,1.562625
14000,0.192892,83.750251,728.878051,0.177619,1.545818
16000,0.316456,87.220962,729.843811,0.184980,1.547866
